#     1_Threshold      2_Threshold         3_True_P         4_True_N        5_False_P        6_False_N      7_Precision         8_Recall       9_Accuracy      10_Fall_Out   11_Sensitivity     12_F_Measure 
# ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  ===============  
             0.01             0.75              421              503                1               75         0.997630         0.848790         0.924000         0.001984         0.848790         0.917211
             0.01             0.76              419              503                1               77         0.997619         0.844758         0.922000         0.001984         0.844758         0.914847
             0.01             0.77              410              503                1               86         0.997567         0.826613         0.913000         0.001984         0.826613         0.904079
             0.01             0.78              402              503                1               94         0.997519         0.810484         0.905000         0.001984         0.810484         0.894327
             0.01             0.79              390              503                1              106         0.997442         0.786290         0.893000         0.001984         0.786290         0.879369
             0.01             0.80              382              504                0              114         1.000000         0.770161         0.886000         0.000000         0.770161         0.870159
             0.01             0.81              378              504                0              118         1.000000         0.762097         0.882000         0.000000         0.762097         0.864989
             0.01             0.82              374              504                0              122         1.000000         0.754032         0.878000         0.000000         0.754032         0.859770
             0.01             0.83              363              504                0              133         1.000000         0.731855         0.867000         0.000000         0.731855         0.845169
             0.01             0.84              357              504                0              139         1.000000         0.719758         0.861000         0.000000         0.719758         0.837046
             0.01             0.85              350              504                0              146         1.000000         0.705645         0.854000         0.000000         0.705645         0.827423
             0.01             0.86              339              504                0              157         1.000000         0.683468         0.843000         0.000000         0.683468         0.811976
             0.01             0.87              321              504                0              175         1.000000         0.647177         0.825000         0.000000         0.647177         0.785802
             0.01             0.88              315              504                0              181         1.000000         0.635081         0.819000         0.000000         0.635081         0.776819
             0.01             0.89              304              504                0              192         1.000000         0.612903         0.808000         0.000000         0.612903         0.760000
             0.01             0.90              288              504                0              208         1.000000         0.580645         0.792000         0.000000         0.580645         0.734694
             0.01             0.91              273              504                0              223         1.000000         0.550403         0.777000         0.000000         0.550403         0.710013
             0.01             0.92              263              504                0              233         1.000000         0.530242         0.767000         0.000000         0.530242         0.693017
             0.01             0.93              244              504                0              252         1.000000         0.491935         0.748000         0.000000         0.491935         0.659459
             0.01             0.94              238              504                0              258         1.000000         0.479839         0.742000         0.000000         0.479839         0.648501
             0.01             0.95              230              504                0              266         1.000000         0.463710         0.734000         0.000000         0.463710         0.633609
             0.01             0.96              216              504                0              280         1.000000         0.435484         0.720000         0.000000         0.435484         0.606742
             0.01             0.97              198              504                0              298         1.000000         0.399194         0.702000         0.000000         0.399194         0.570605
             0.01             0.98              180              504                0              316         1.000000         0.362903         0.684000         0.000000         0.362903         0.532544
             0.01             0.99              143              504                0              353         1.000000         0.288306         0.647000         0.000000         0.288306         0.447574
             0.02             0.00              496                0              504                0         0.496000         1.000000         0.496000         1.000000         1.000000         0.663102
             0.02             0.01              487                1              503                9         0.491919         0.981855         0.488000         0.998016         0.981855         0.655451
             0.02             0.02              487                1              503                9         0.491919         0.981855         0.488000         0.998016         0.981855         0.655451
             0.02             0.03              487                3              501                9         0.492915         0.981855         0.490000         0.994048         0.981855         0.656334
             0.02             0.04              487               13              491                9         0.497955         0.981855         0.500000         0.974206         0.981855         0.660787
             0.02             0.05              487               27              477                9         0.505187         0.981855         0.514000         0.946429         0.981855         0.667123
             0.02             0.06              487               54              450                9         0.519744         0.981855         0.541000         0.892857         0.981855         0.679693
             0.02             0.07              487               76              428                9         0.532240         0.981855         0.563000         0.849206         0.981855         0.690291
             0.02             0.08              487              101              403                9         0.547191         0.981855         0.588000         0.799603         0.981855         0.702742
             0.02             0.09              487              118              386                9         0.557847         0.981855         0.605000         0.765873         0.981855         0.711468
             0.02             0.10              487              139              365                9         0.571596         0.981855         0.626000         0.724206         0.981855         0.722552
             0.02             0.11              487              152              352                9         0.580453         0.981855         0.639000         0.698413         0.981855         0.729588
             0.02             0.12              487              163              341                9         0.588164         0.981855         0.650000         0.676587         0.981855         0.735650
             0.02             0.13              487              174              330                9         0.596083         0.981855         0.661000         0.654762         0.981855         0.741813
             0.02             0.14              487              185              319                9         0.604218         0.981855         0.672000         0.632937         0.981855         0.748080
             0.02             0.15              487              200              304                9         0.615676         0.981855         0.687000         0.603175         0.981855         0.756799
             0.02             0.16              487              216              288                9         0.628387         0.981855         0.703000         0.571429         0.981855         0.766326
             0.02             0.17              487              227              277                9         0.637435         0.981855         0.714000         0.549603         0.981855         0.773016
             0.02             0.18              487              237              267                9         0.645889         0.981855         0.724000         0.529762         0.981855         0.779200
